,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
128,K00331,5506.0,100,4.7,1,0.111,0.06,0.12,-99,0,11.798,0.017,296.183423931,47.3587775511,kmag,allsky,cks1
129,K00332,5798.5,100,4.7,1,0.381,0.06,0.12,-99,0,11.475,0.019,297.650928087,47.3962245865,kmag,allsky,cks1
130,K00333,6208.5,100,4.7,1,0.108,0.06,0.12,-99,0,12.125,0.017,290.957913026,47.4062673043,kmag,allsky,cks1
131,K00337,5723.7,100,4.7,1,0.075,0.06,0.12,-99,0,12.409,0.019,295.684859461,47.7480914402,kmag,allsky,cks1
132,K00338,5019.3,100,4.7,1,0.333,0.06,0.12,-99,0,11.393,0.017,297.970727113,47.7316041009,kmag,allsky,cks1
133,K00340,5701.2,100,4.7,1,0.353,0.06,0.12,-99,0,11.435,0.018,297.664530816,47.8013440906,kmag,allsky,cks1
134,K00341,5566.7,100,4.7,1,0.181,0.06,0.12,-99,0,11.698,0.02,297.96156162,48.244336301,kmag,allsky,cks1
135,K00343,5759.0,100,4.7,1,0.048,0.06,0.12,-99,0,11.762,0.021,295.119006711,48.4813635296,kmag,allsky,cks1
136,K00344,5600.4,100,4.7,1,-0.181,0.06,0.12,-99,0,11.9,0.02,283.340294761,48.549062008,kmag,allsky,cks1
137,K00345,4934.6,100,4.7,1,0.049,0.06,0.12,-99,0,11.177,0.022,286.524658245,48.6835480564,kmag,allsky,cks1
138,K00346,5120.2,100,4.7,1,0.097,0.06,0.12,-99,0,11.545,0.02,298.660909429,48.6063021947,kmag,allsky,cks1
139,K00348,4790.4,100,4.7,1,0.07,0.06,0.12,-99,0,11.683,0.019,293.685689283,48.8249915406,kmag,allsky,cks1
140,K00350,5785.1,100,4.7,1,0.059,0.06,0.12,-99,0,11.923,0.021,287.861401233,49.2644450009,kmag,allsky,cks1
141,K00351,6015.4,100,4.7,1,0.098,0.06,0.12,-99,0,12.482,0.024,284.433464246,49.3051238906,kmag,allsky,cks1
