,id_starname,gdir_srad,gdir_srad_err1,gdir_srad_err2,gdir_avs,gdir_avs_err1,gdir_avs_err2,giso_smass,giso_smass_err2,giso_smass_err1,giso_srad,giso_srad_err1,giso_srad_err2,giso_srho,giso_srho_err1,giso_srho_err2,giso_sage,giso_sage_err1,giso_sage_err2,giso2_sparallax,giso2_sparallax_err1,giso2_sparallax_err2
312,CK04552,0.755158784642,0.0394801193236,-0.0370563972933,0.130600139537,0.000798909736492,-0.000777379764517,0.772210877905,-0.0244465113216,0.0291604807533,0.744392052084,0.00985917570911,-0.00946414013646,1.86555584587,0.10154459054,-0.0861516020147,7.622562885,4.28399130967,-4.79306967054,1.94000492851,0.0994757909587,-0.123224877158
313,CK04594,0.56505369627,0.0173246022847,-0.0173632918157,0.0565683678818,0.000306172566164,-0.000304202450866,0.553735589142,-0.00933907309232,0.0104941555955,0.536277290522,0.00544040443943,-0.00448683097244,3.58397129907,0.0919929349047,-0.098410497529,7.22919191507,4.57855968017,-4.57150765843,5.51020641657,0.474505060045,-0.45508938336
314,CK04595,0.771872394477,0.0423438556411,-0.0396458546894,0.138919006165,0.00139642290279,-0.00134557338806,0.770307893907,-0.0247520980247,0.0320750807883,0.755279914537,0.0129994119008,-0.0133917131211,1.7820821377,0.117406520355,-0.0965583235325,8.50473072465,3.75716266258,-4.79942590056,1.49251175028,0.0849813919927,-0.118614610716
315,CK04606,0.68980831181,0.0378386168622,-0.0355025910739,0.216957720549,0.0025175872387,-0.00243293642243,0.736269325888,-0.0258779730491,0.0219137120385,0.699997391111,0.0116419218977,-0.0102516077612,2.13393784709,0.0958471976014,-0.1041010762,5.26108182273,5.20456652774,-3.8824432834,1.73394592808,0.0943814852483,-0.116335929804
316,CK04650,0.645670540815,0.026390883742,-0.0251815225336,0.118951229454,0.00109790856072,-0.00106314845774,0.635598992015,-0.0136856114934,0.0160675276325,0.621835436644,0.00931257929564,-0.00962942482781,2.63695723011,0.107182539837,-0.0959417714013,8.2735820022,3.93646203368,-4.78755432401,2.23029091008,0.131543443078,-0.131882281653
317,CK04672,0.688291990055,0.0395226401346,-0.0368021546909,0.161841033594,0.00162071157802,-0.0015617005192,0.714310333501,-0.0235519315506,0.0256967951302,0.687544971704,0.0125510811156,-0.0115544158238,2.1897843398,0.113599665065,-0.107209876388,6.62883881699,4.73022729234,-4.37122967051,1.39386772169,0.0765852219942,-0.0955822687345
318,CK04721,0.686311148313,0.0407636593405,-0.0380936356928,0.0891570130156,0.000981014552562,-0.000933916486404,0.709330466328,-0.0237703700049,0.0245782233815,0.68331872525,0.0140084096668,-0.0139701592913,2.2172320002,0.129748543914,-0.116671542846,6.57946645974,4.80669660539,-4.53778784144,1.36567610682,0.0730735560901,-0.084774703532
319,CK04725,0.73927394555,0.0362883130454,-0.0339492957753,0.127559408349,0.000123825968219,-0.00012332493829,0.752659553154,-0.0227589085209,0.0307197955108,0.731806091862,0.00506207994616,-0.0059106208928,1.91914546705,0.0997074941642,-0.0711074643825,7.92190158975,4.08225865971,-4.82594898121,4.28507437987,0.227138008619,-0.278970640278
320,CK04735,0.727931162362,0.0359975597988,-0.0338493826144,0.0882313270962,0.000334906645184,-0.000325586905359,0.749267175314,-0.0262809596474,0.028202036349,0.724045450062,0.0082656501699,-0.00802588512671,1.96671408101,0.10022129351,-0.0864280012033,7.03444660007,4.58932238398,-4.57425549085,2.0771670067,0.119627912273,-0.160383871415
321,CK04762,0.653260939228,0.0271618047836,-0.0258440396415,0.121444482802,0.000512523882365,-0.000494836814897,0.652102643597,-0.0156974419846,0.0176453010238,0.635817824827,0.00989225240944,-0.00977846063016,2.52855525363,0.109597926411,-0.098635390032,7.79706392083,4.25662510152,-4.78019423781,2.08256490389,0.100062406378,-0.104703618341
322,CK04784,0.696339868163,0.027138142972,-0.0259909151777,0.0697345067784,0.000464197386702,-0.000450859467988,0.703874307362,-0.0180595684355,0.0217748714647,0.681877348872,0.00927428530528,-0.00952165046258,2.21279550324,0.0994661045695,-0.0825329344009,8.1614877473,4.04265378753,-5.10549373427,2.08319088311,0.0947146793735,-0.0958972975937
323,CK04808,0.62618867511,0.0196899707529,-0.0196559999539,0.183920400901,0.00046482006528,-0.00089761844672,0.639007241855,-0.00884885710027,0.01303720747,0.609918243913,0.00482297498241,-0.00526996034479,2.81286147658,0.0847205963536,-0.0722421662387,7.50519033773,4.56411228112,-5.04093811705,3.38939419132,0.266086615464,-0.254215989232
324,CK04809,0.965129581958,0.0408758605755,-0.0389351614953,0.473137624628,0.00432111214291,-0.004723608889,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2.56337384561,0.153314423049,-0.152029439908
325,CK04838,0.705082330622,0.025658841526,-0.0245298494668,0.0973034496957,0.000649003802528,-0.000749355086665,0.715361037852,-0.0155709830792,0.0213528353495,0.691087720602,0.00596160698171,-0.00709939231384,2.16039119597,0.0886769088365,-0.0630496770808,8.58706170197,3.7056504522,-4.95448709922,2.72204431087,0.126772730469,-0.134457725239
326,CK04848,0.691577066363,0.0223292871083,-0.0224104594459,0.0954513347471,0.000380452299754,-0.000371022705766,0.691788248355,-0.0127537622938,0.0161968692335,0.668168359686,0.00697365449012,-0.00667488976557,2.30878953401,0.0879776973194,-0.0678462311179,8.89602030045,3.59310803469,-4.85826666748,2.36392095893,0.14912303903,-0.140235208693
327,CK04859,0.690140342186,0.0391912364202,-0.0366829949164,0.184253540908,0.000704086194652,-0.000678887067884,0.709582012727,-0.022010250541,0.02419876093,0.684561746512,0.0113504070501,-0.0113298157303,2.20881557564,0.104244673748,-0.100105192547,6.73887669818,4.75933156368,-4.5915279378,1.72955611808,0.0985767608705,-0.100605209196
328,CK04862,0.675437883446,0.0249788626594,-0.0239336669259,0.0692265343887,0.000527746472807,-0.00051652805401,0.668464414522,-0.0140027151772,0.01636631234,0.653102871862,0.00740148606077,-0.00747242300789,2.39291839816,0.0873613654815,-0.073947448208,8.59892129485,3.69680013863,-4.57590606132,2.29719253912,0.134400357359,-0.126809262535
329,CK04875,0.562325919375,0.0178409189407,-0.0178246067996,0.136801515728,0.000949715730513,-0.000932303769097,0.571973089107,-0.0098026571912,0.010443084047,0.546285813732,0.0056261192558,-0.00582672441208,3.49931026724,0.0971296273705,-0.0893632729696,7.36556451616,4.36428769889,-4.4701822659,4.10271038473,0.423127491333,-0.422818110144
330,CK04926,0.699833756146,0.037882489961,-0.035579880976,0.271930710921,0.00246906345247,-0.00238864792871,0.727833255612,-0.0242982475613,0.0233819022399,0.698371642521,0.0112068848155,-0.0108696797321,2.12642200832,0.107377281631,-0.0968408097294,6.29431654937,4.90147665632,-4.40736232644,1.63907400279,0.0863280146566,-0.103332817845
331,CK04977,0.904273744348,0.0402950506899,-0.0382145727876,0.198191551881,0.00192061831749,-0.00182687765641,0.782228973537,-0.00910358620455,0.00900691875521,0.777910768738,0.00865918563509,-0.00772722314943,1.65286440052,0.0467489639782,-0.0447486677862,12.9003569725,0.724407256995,-1.39065909258,1.99694590239,0.0859015697633,-0.0875687952904
332,CK05192,0.740928004634,0.0367349158197,-0.0344902455663,0.115882352744,0.00160524400466,-0.00147911474935,0.768949401814,-0.0276305534086,0.0280547161022,0.739891492614,0.00829590141537,-0.00843914208699,1.89320840268,0.095025097802,-0.09157482124,6.64289184621,4.70459858422,-4.32721370084,2.02331429813,0.114783530439,-0.161751302757
