,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
93,K00232,5939.0,60,4.7,1,-0.1,0.12,0.12,-99,0,12.826,0.028,291.1118647367038,39.949024789754894,kmag,allsky,smemp
94,K00237,5574.0,60,4.7,1,0.22,0.12,0.12,-99,0,12.588,0.022,295.9513472057629,43.85198839966751,kmag,allsky,smemp
95,K00238,6053.0,60,4.7,1,-0.22,0.12,0.12,-99,0,12.655,0.025,296.9985853137873,42.7819633016574,kmag,allsky,smemp
96,K00241,5008.0,60,4.7,1,-0.54,0.12,0.12,-99,0,12.233,0.026,286.75273218690086,49.06487879997578,kmag,allsky,smemp
97,K00244,6178.0,60,4.7,1,-0.17,0.12,0.12,-99,0,9.493,0.017,286.6383905141967,39.487903774512894,kmag,allsky,smemp
98,K00245,5315.0,60,4.7,1,-0.42,0.12,0.12,-99,0,7.942,0.013,284.0592502883531,44.51837333090706,kmag,allsky,smemp
99,K00246,5717.0,60,4.7,1,0.11,0.12,0.12,-99,0,8.588,0.022,291.03231021123275,49.04021292713489,kmag,allsky,smemp
100,K00247,3839.0,60,4.7,1,0.05,0.12,0.12,-99,0,11.124,0.022,284.99869802421483,50.146692152001464,kmag,allsky,smemp
101,K00248,4010.0,60,4.7,1,-0.13,0.12,0.12,-99,0,12.383,0.023,292.2945208086992,40.59181226238928,kmag,allsky,smemp
102,K00249,3506.0,60,4.7,1,-0.32,0.12,0.12,-99,0,11.155,0.027000000000000003,284.92196077628444,45.97232651720985,kmag,allsky,smemp
103,K00250,4051.0,60,4.7,1,-0.18,0.12,0.12,-99,0,12.63,0.025,284.94106267987627,46.566450455199956,kmag,allsky,smemp
104,K00251,3788.0,60,4.7,1,-0.03,0.12,0.12,-99,0,11.682,0.019,298.25811010540815,47.60500305088214,kmag,allsky,smemp
105,K00252,3892.0,60,4.7,1,0.1,0.12,0.12,-99,0,12.552,0.03,290.4015156099432,48.82272336814559,kmag,allsky,smemp
106,K00253,4033.0,60,4.7,1,0.38,0.12,0.12,-99,0,12.29,0.037,285.57430316369863,49.96212180658739,kmag,allsky,smemp
107,K00254,3924.0,60,4.7,1,0.23,0.12,0.12,-99,0,12.892,0.029,292.8729292267674,41.0641727322057,kmag,allsky,smemp
108,K00255,3913.0,60,4.7,1,0.13,0.12,0.12,-99,0,12.08,0.018,287.8579529500498,42.542675813626154,kmag,allsky,smemp
109,K00256,3558.0,60,4.7,1,0.0,0.12,0.12,-99,0,11.783,0.023,285.18505861579,49.565285047492715,kmag,allsky,smemp
110,K00257,6128.0,60,4.7,1,0.05,0.12,0.12,-99,0,9.617,0.017,284.6351885294308,40.719829594974726,kmag,allsky,smemp
111,K00258,6513.0,60,4.7,1,-0.02,0.12,0.12,-99,0,8.682,0.021,284.54180950920653,48.9612443656918,kmag,allsky,smemp
112,K00260,6153.0,60,4.7,1,-0.33,0.12,0.12,-99,0,9.344,0.011,289.34736339947233,44.208444471406644,kmag,allsky,smemp
113,K00261,5588.0,60,4.7,1,0.03,0.12,0.12,-99,0,8.868,0.02,297.0698263416728,40.525203878129474,kmag,allsky,smemp
114,K00262,6212.0,60,4.7,1,-0.16,0.12,0.12,-99,0,9.197,0.019,288.10093121793085,50.033684407250654,kmag,allsky,smemp
