id_obs,id_name,obs_bjd,obs_counts,obs_exposure_time,obs_logline,obs_decker,smemp_teff,smemp_teff_err,smemp_radius,smemp_fe,smemp_fe_err,smsyn_teff,smsyn_teff_err,smsyn_logg,smsyn_logg_err,smsyn_fe,smsyn_fe_err,smsyn_vsini
j156.1368,CK02399,2456151.09272381,10008.0,1008.83880615,1368   CK02399        n  14:09:20  1008  (14:09:06) C2  10k AM=2.9,C2,5021.0,110.0,0.763,-0.11,0.09,5055.65858315,100.0,4.61487386433,0.1,-0.0566713016986,0.06,1.51043432526
j156.1564,CK01152,2456151.95706722,1004.0,134.45240784,1564   CK01152        n  10:53:40   134  (10:53:40) C2   1k PA=205   ,C2,4390.0,70.0,0.663,-0.35,0.09,4546.04069583,100.0,4.52089767731,0.1,-0.240174159136,0.06,23.4454476841
j156.1568,CK00168,2456151.97826191,52264.0,2700.13574219,1568   CK00168        n  11:24:33  2700  (11:24:53) B3  52k   AM=1.4   ,B3,5846.0,110.0,1.285,-0.13,0.09,5796.12831822,100.0,4.01089199754,0.1,-0.11550740485,0.06,1.3395312359
j156.1766,K00433,2456153.07305423,3004.0,866.63317871,"1766   K00433         n  13:40:44   865  (13:40:32) C2   3k  1.4"" varying",C2,5126.0,110.0,0.865,0.19,0.09,5182.64897768,100.0,4.39100574467,0.1,0.183507719383,0.06,2.34611770348
j157.93,K00448,2456163.95472092,3004.0,613.12719727,93     K00448         n  10:49:42   612  (10:49:52) C2   3k  moon is set,C2,4485.0,70.0,0.702,0.04,0.09,4653.09390442,100.0,4.69576920858,0.1,-0.0377642252135,0.06,4.37028748263
j157.94,CK02548,2456163.9626611,3004.0,659.83837891,94     CK02548        n  11:02:15   659  (11:02:13) C2   3k    ,C2,4698.0,110.0,0.714,-0.28,0.09,4627.22978674,100.0,4.37541081025,0.1,-0.336790155223,0.06,2.29124066505
j157.101,CK02086,2456164.02214143,10004.0,824.48242188,101    CK02086        n  12:27:29   824  (12:27:28) C2  10k    ,C2,5839.0,110.0,1.463,-0.07,0.09,5824.89144402,100.0,4.0218964502,0.1,-0.0513704315371,0.06,2.96608457941
j157.102,CK01944,2456164.03553554,10012.0,992.21923828,"102    CK01944        n  12:46:16   992  (12:46:28) C2  10k  seeing 1.1""  ",C2,5606.0,110.0,1.113,-0.05,0.09,5743.88524817,100.0,4.60515417918,0.1,0.0728733167332,0.06,3.23313250834
j157.103,CK02047,2456164.04756535,10012.0,848.4263916,103    CK02047        n  13:04:29   847  (13:04:30) C2  10k    ,C2,6002.0,110.0,1.246,-0.15,0.09,6172.1417492,100.0,4.36630042905,0.1,-0.0243422966442,0.06,5.33345522007
j157.104,CK01938,2456164.06014217,8164.0,1124.18762207,"104    CK01938        n  13:22:20  1124  (13:22:38) C2   8k  run out of limit, S/N >9K but <10K",C2,5097.0,110.0,0.758,-0.29,0.09,5113.90387167,100.0,4.6409493051,0.1,-0.216079960357,0.06,1.60063915526
