obs,id_obs,id_name,id_koi
rj149.192,rj149.192,CK02248,2248
rj149.195,rj149.195,CK00463,463
rj150.125,rj150.125,CK02352,2352
rj150.126,rj150.126,CK01947,1947
rj150.127,rj150.127,CK02463,2463
rj150.141,rj150.141,CK01474,1474
rj150.146,rj150.146,CK01701,1701
rj150.147,rj150.147,CK02276,2276
rj150.148,rj150.148,CK00076,76
rj150.312,rj150.312,CK01924,1924
rj150.313,rj150.313,CK01612,1612
rj150.314,rj150.314,CK02632,2632
rj150.315,rj150.315,CK02462,2462
rj150.316,rj150.316,CK02138,2138
rj150.317,rj150.317,CK01622,1622
rj150.518,rj150.518,CK02087,2087
rj150.519,rj150.519,CK02593,2593
rj150.520,rj150.520,CK02545,2545
rj150.521,rj150.521,CK01800,1800
rj150.522,rj150.522,CK02457,2457
rj150.523,rj150.523,CK02484,2484
rj150.533,rj150.533,CK02272,2272
rj150.534,rj150.534,CK01958,1958
rj150.736,rj150.736,CK02486,2486
rj150.737,rj150.737,CK02148,2148
rj150.752,rj150.752,CK02026,2026
rj150.753,rj150.753,CK01738,1738
rj150.754,rj150.754,CK02002,2002
rj150.755,rj150.755,CK01632,1632
rj150.756,rj150.756,CK01779,1779
rj152.144,rj152.144,CK01913,1913
rj152.145,rj152.145,CK02260,2260
rj152.146,rj152.146,CK02110,2110
rj152.147,rj152.147,CK02075,2075
rj152.148,rj152.148,CK01886,1886
rj152.149,rj152.149,CK02390,2390
rj152.150,rj152.150,CK02072,2072
rj152.292,rj152.292,CK02079,2079
rj152.293,rj152.293,CK02222,2222
rj152.294,rj152.294,CK01878,1878
rj152.295,rj152.295,CK02053,2053
rj152.296,rj152.296,CK02215,2215
rj152.297,rj152.297,CK02370,2370
rj152.298,rj152.298,CK02035,2035
rj152.299,rj152.299,CK02541,2541
rj152.300,rj152.300,CK02332,2332
rj152.301,rj152.301,CK02342,2342
rj152.302,rj152.302,CK01802,1802
rj152.474,rj152.474,CK02083,2083
rj152.475,rj152.475,CK01725,1725
rj152.477,rj152.477,CK02488,2488
rj152.478,rj152.478,CK01826,1826
rj152.479,rj152.479,CK02289,2289
rj152.480,rj152.480,CK01411,1411
rj152.481,rj152.481,CK02623,2623
rj152.482,rj152.482,CK02358,2358
rj152.483,rj152.483,CK01629,1629
rj152.484,rj152.484,CK02135,2135
rj152.485,rj152.485,CK01819,1819
rj152.499,rj152.499,K01924,1924
rj152.500,rj152.500,K01924,1924
rj152.501,rj152.501,K01924,1924
rj152.502,rj152.502,K01925,1925
rj152.503,rj152.503,K01925,1925
rj152.504,rj152.504,K01925,1925
rj152.669,rj152.669,CK01820,1820
rj152.670,rj152.670,CK02408,2408
rj152.671,rj152.671,CK01431,1431
rj152.672,rj152.672,CK02581,2581
rj152.673,rj152.673,CK02585,2585
rj152.674,rj152.674,CK02331,2331
rj152.675,rj152.675,CK02577,2577
rj152.676,rj152.676,CK01854,1854
rj152.677,rj152.677,CK02246,2246
rj152.678,rj152.678,CK02407,2407
rj152.679,rj152.679,CK02503,2503
rj152.685,rj152.685,CK02044,2044
rj152.686,rj152.686,CK02115,2115
rj152.690,rj152.690,K02720,2720
rj152.691,rj152.691,K02720,2720
rj152.692,rj152.692,K02687,2687
rj152.693,rj152.693,K02687,2687
rj152.920,rj152.920,CK00153,153
rj152.921,rj152.921,CK02389,2389
rj152.922,rj152.922,CK02398,2398
rj152.923,rj152.923,CK02414,2414
rj152.924,rj152.924,CK01784,1784
rj152.925,rj152.925,CK01916,1916
rj152.926,rj152.926,CK02481,2481
rj152.927,rj152.927,CK02530,2530
rj152.928,rj152.928,CK01917,1917
rj152.929,rj152.929,CK01271,1271
rj152.930,rj152.930,CK01863,1863
rj152.931,rj152.931,CK02252,2252
rj152.932,rj152.932,CK02582,2582
rj152.933,rj152.933,CK01206,1206
rj152.1111,rj152.1111,CK00010,10
rj152.1112,rj152.1112,CK01937,1937
rj152.1113,rj152.1113,CK01928,1928
rj152.1114,rj152.1114,CK02333,2333
rj152.1115,rj152.1115,CK02153,2153
rj152.1116,rj152.1116,CK02631,2631
rj152.1117,rj152.1117,CK02470,2470
rj152.1118,rj152.1118,CK02561,2561
rj152.1119,rj152.1119,CK01862,1862
rj152.1120,rj152.1120,CK01835,1835
rj152.1275,rj152.1275,CK01803,1803
rj152.1277,rj152.1277,CK01888,1888
rj152.1278,rj152.1278,CK02533,2533
rj152.1279,rj152.1279,CK02608,2608
rj152.1280,rj152.1280,CK01274,1274
rj152.1281,rj152.1281,CK01901,1901
rj152.1282,rj152.1282,CK02004,2004
rj152.1377,rj152.1377,CK02046,2046
rj152.1378,rj152.1378,CK02013,2013
rj152.1379,rj152.1379,CK02010,2010
rj152.1382,rj152.1382,CK01852,1852
rj152.1383,rj152.1383,CK00710,710
rj153.90,rj153.90,CK01843,1843
rj153.93,rj153.93,CK01841,1841
rj153.94,rj153.94,CK02595,2595
rj153.95,rj153.95,CK02640,2640
rj153.96,rj153.96,CK01984,1984
rj153.97,rj153.97,CK02120,2120
rj153.98,rj153.98,CK02522,2522
rj153.99,rj153.99,CK01837,1837
rj153.288,rj153.288,CK01839,1839
rj153.289,rj153.289,CK01989,1989
rj153.290,rj153.290,CK02319,2319
rj153.291,rj153.291,CK01877,1877
rj153.292,rj153.292,CK01985,1985
rj153.319,rj153.319,CK01979,1979
rj153.320,rj153.320,CK00958,958
rj153.321,rj153.321,CK02366,2366
rj153.322,rj153.322,CK01726,1726
rj153.323,rj153.323,CK02158,2158
rj153.324,rj153.324,CK02017,2017
rj153.325,rj153.325,CK02042,2042
rj153.485,rj153.485,CK00612,612
rj153.486,rj153.486,CK00505,505
rj153.487,rj153.487,CK02194,2194
rj153.498,rj153.498,K01781,1781
rj153.499,rj153.499,CK00094,94
rj153.511,rj153.511,CK00248,248
rj153.512,rj153.512,CK00775,775
rj153.513,rj153.513,CK00870,870
rj153.514,rj153.514,CK02001,2001
rj153.515,rj153.515,CK01955,1955
rj153.516,rj153.516,CK01898,1898
rj153.517,rj153.517,CK02159,2159
rj153.518,rj153.518,CK02071,2071
rj153.519,rj153.519,CK02137,2137
rj153.679,rj153.679,CK02300,2300
rj153.680,rj153.680,CK02109,2109
rj153.681,rj153.681,CK02261,2261
rj153.682,rj153.682,CK02202,2202
rj153.683,rj153.683,CK02219,2219
rj153.684,rj153.684,CK02272,2272
