,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
25,KIC2571238,5520.3,100,-99,-99,-0.032,0.06,0.004599514250876298,2.0165045333721668e-05,10.318,0.019,290.420969441132,37.851655622598074,kmag,green19,cks1
26,KIC2572029,5848.8,100,-99,-99,0.07,0.06,0.0014893048586297369,1.4306795313207676e-05,12.092,0.021,290.6080806810913,37.80193409406621,kmag,green19,cks1
27,KIC2581316,6194.5,100,-99,-99,0.121,0.06,0.0025414988137068403,2.56570985254468e-05,10.688,0.018,292.6274943414798,37.86016532109599,kmag,green19,cks1
28,KIC2581554,5013.4,100,-99,-99,0.045,0.06,0.004855573175112242,2.5917098164295448e-05,10.84,0.029,292.69037790740884,37.835054926614966,kmag,green19,cks1
29,KIC2692377,5566.9,100,-99,-99,0.19899999999999998,0.06,0.002878893465097198,2.3886777329578402e-05,11.253,0.017,285.66169334771286,37.964567200865744,kmag,green19,cks1
30,KIC2697935,4930.8,100,-99,-99,-0.08,0.06,0.003271456887430867,2.5168528325304668e-05,8.511,0.018,287.46808588322017,37.96666374325228,kmag,green19,cks1
31,KIC2711597,4946.9,100,-99,-99,0.083,0.06,0.0016913872347698842,0.0002187933516296324,12.274,0.021,291.1245415387035,37.98657389500024,kmag,green19,cks1
32,KIC2720514,5957.0,100,-99,-99,-0.175,0.06,0.0015059357752679823,1.6005332344043318e-05,11.901,0.021,293.07073499916805,37.9867884004169,kmag,green19,cks1
33,KIC2831055,5752.0,100,-99,-99,0.015,0.06,0.0015758764235701804,1.486782977580795e-05,12.216,0.022,285.5129495648723,38.07983902752281,kmag,green19,cks1
34,KIC2849805,5736.2,100,-99,-99,0.040999999999999995,0.06,0.001852240812760513,1.4178517543073424e-05,11.888,0.02,290.88462173818834,38.05755394016614,kmag,green19,cks1
35,KIC2852941,6173.1,100,-99,-99,-0.342,0.06,0.0011304967447122879,1.4587439740758161e-05,12.159,0.023,291.5434459287652,38.048739108340186,kmag,green19,cks1
36,KIC2853780,5077.6,100,-99,-99,0.182,0.06,0.000816019932790473,1.4470806409323468e-05,11.341,0.02,291.7291463516108,38.06990746120225,kmag,green19,cks1
37,KIC2854698,5540.7,100,-99,-99,0.287,0.06,0.0016183015101689834,1.8309162310136743e-05,12.494000000000002,0.026,291.92596575505354,38.01405245541819,kmag,green19,cks1
38,KIC2854914,6096.7,100,-99,-99,0.039,0.06,0.0011981981720627626,1.590336249140598e-05,12.382,0.026,291.97615590603266,38.055032727893526,kmag,green19,cks1
39,KIC2857607,5599.7,100,-99,-99,-0.032,0.06,0.0019407193069006304,1.6631632609169537e-05,12.12,0.023,292.51471462853004,38.02198722536078,kmag,green19,cks1
40,KIC2859893,5843.7,100,-99,-99,0.23600000000000002,0.06,0.0003373587593379543,4.0774025166459966e-05,14.23,0.08,293.01486882242745,38.012390602842295,kmag,green19,cks1
41,KIC2985587,6400.2,100,-99,-99,0.16,0.06,0.0009764632619079305,1.838818710183345e-05,12.537,0.035,290.480057023133,38.13669759813509,kmag,green19,cks1
42,KIC2987027,4937.7,100,-99,-99,0.025,0.06,0.002729478093042411,1.668482422172411e-05,11.959000000000001,0.02,290.8332411884934,38.18418510331824,kmag,green19,cks1
